,id,cash_request_id,type,status,total_amount,created_at
0,6537,14941.0,instant_payment,rejected,5.0,2020-09-07 10:47:27.42315+00
1,6961,11714.0,incident,accepted,5.0,2020-09-09 20:51:17.998653+00
2,16296,23371.0,instant_payment,accepted,5.0,2020-10-23 10:10:58.352972+00
3,20775,26772.0,instant_payment,accepted,5.0,2020-10-31 15:46:53.643958+00
4,11242,19350.0,instant_payment,accepted,5.0,2020-10-06 08:20:17.170432+00
5,17029,24052.0,instant_payment,accepted,5.0,2020-10-24 12:22:27.666102+00
6,19956,25983.0,instant_payment,accepted,5.0,2020-10-30 04:38:06.826149+00
7,14187,14839.0,incident,accepted,5.0,2020-10-16 23:48:50.655967+00
8,20539,26572.0,instant_payment,accepted,5.0,2020-10-31 05:29:08.4718+00
9,15431,22106.0,postpone,cancelled,5.0,2020-10-21 08:48:50.696961+00
10,17962,24756.0,instant_payment,accepted,5.0,2020-10-26 16:53:54.411479+00
11,15434,21897.0,postpone,accepted,5.0,2020-10-21 09:00:21.619473+00
12,20199,25490.0,postpone,cancelled,5.0,2020-10-30 16:51:49.45659+00
13,20537,26568.0,instant_payment,accepted,5.0,2020-10-31 04:32:20.488692+00
14,19517,25902.0,instant_payment,accepted,5.0,2020-10-29 03:20:54.672102+00
15,14420,17963.0,incident,accepted,5.0,2020-10-17 22:18:53.924407+00
16,20532,26565.0,instant_payment,accepted,5.0,2020-10-31 02:50:23.143287+00
17,13949,19876.0,postpone,accepted,5.0,2020-10-16 08:34:39.39839+00
18,14793,22136.0,instant_payment,accepted,5.0,2020-10-19 12:13:36.909792+00
19,19761,24564.0,postpone,cancelled,5.0,2020-10-29 14:00:30.956061+00
20,19061,25527.0,instant_payment,accepted,5.0,2020-10-28 11:56:25.8875+00
21,20530,19909.0,postpone,cancelled,5.0,2020-10-31 01:49:46.485098+00
22,15878,22357.0,postpone,accepted,5.0,2020-10-22 09:52:45.915328+00
23,14728,21504.0,instant_payment,accepted,5.0,2020-10-19 08:37:53.558973+00
24,19332,25768.0,instant_payment,accepted,5.0,2020-10-28 18:21:15.872667+00
25,13718,21302.0,instant_payment,accepted,5.0,2020-10-15 12:16:42.832815+00
26,20534,26567.0,instant_payment,accepted,5.0,2020-10-31 03:38:05.276976+00
27,14433,10287.0,incident,rejected,5.0,2020-10-17 22:19:48.806283+00
28,20531,20599.0,postpone,accepted,5.0,2020-10-31 02:24:23.212854+00
29,16690,22251.0,postpone,cancelled,5.0,2020-10-23 19:27:18.036963+00
30,20424,22829.0,postpone,accepted,5.0,2020-10-30 18:35:58.179048+00
31,20536,17458.0,postpone,accepted,5.0,2020-10-31 04:02:34.706429+00
32,20543,21351.0,postpone,accepted,5.0,2020-10-31 06:34:44.033439+00
33,13483,21138.0,instant_payment,accepted,5.0,2020-10-14 18:05:10.496937+00
34,3024,11186.0,instant_payment,accepted,5.0,2020-08-07 09:15:04.678738+00
35,18552,25131.0,instant_payment,accepted,5.0,2020-10-27 11:44:52.064605+00
36,20939,21066.0,postpone,accepted,5.0,2020-11-01 06:36:32.049911+00
37,20937,26787.0,postpone,accepted,5.0,2020-11-01 06:08:29.444758+00
38,21157,24323.0,postpone,cancelled,5.0,2020-11-01 22:12:12.243781+00
39,13150,20878.0,instant_payment,accepted,5.0,2020-10-13 14:28:08.075145+00
40,14188,15989.0,incident,accepted,5.0,2020-10-16 23:48:52.16855+00
41,13719,17335.0,postpone,cancelled,5.0,2020-10-15 12:21:16.847407+00
42,19333,25769.0,instant_payment,rejected,5.0,2020-10-28 18:26:09.582877+00
43,21158,19981.0,incident,rejected,5.0,2020-11-01 22:13:59.433935+00
44,13583,12952.0,incident,accepted,5.0,2020-10-15 01:30:20.818256+00
45,7039,15474.0,instant_payment,rejected,5.0,2020-09-10 09:02:36.065377+00
46,14794,20043.0,postpone,cancelled,5.0,2020-10-19 12:15:59.091003+00
